order_id,product_id,quantity,unit_price,discount,item_total
O0000023,P00082,4,31.14,0.11,110.8584
O0000024,P00074,3,30.48,0.19,74.0664
O0000024,P00098,3,41.66,0.19,101.2338
O0000024,P00117,2,23.7,0.15,40.29
O0000024,P00129,3,18.4,0.16,46.367999999999995
O0000024,P00139,2,27.0,0.06,50.76
O0000024,P00114,1,32.34,0.01,32.016600000000004
O0000024,P00190,1,32.57,0.2,26.056
O0000024,P00053,1,33.03,0.05,31.3785
O0000025,P00074,2,30.48,0.27,44.5008
O0000026,P00126,3,26.12,0.24,59.5536
O0000027,P00166,1,18.08,0.03,17.537599999999998
O0000027,P00189,1,18.44,0.1,16.596
O0000027,P00189,1,18.44,0.14,15.858400000000001
O0000028,P00024,2,41.18,0.25,61.769999999999996
O0000028,P00046,1,41.67,0.2,33.336000000000006
O0000028,P00091,1,29.55,0.09,26.890500000000003
O0000028,P00107,2,41.29,0.24,62.760799999999996
O0000028,P00013,4,24.15,0.09,87.90599999999999
O0000028,P00019,1,24.12,0.14,20.7432
O0000028,P00145,2,20.47,0.22,31.9332
O0000029,P00018,4,22.7,0.07,84.44399999999999
O0000029,P00071,2,38.72,0.24,58.8544
O0000029,P00135,2,38.07,0.08,70.0488
O0000029,P00053,2,33.03,0.06,62.096399999999996
O0000029,P00198,1,18.79,0.21,14.8441
O0000030,P00129,2,18.4,0.14,31.647999999999996
O0000030,P00057,2,18.72,0.24,28.4544
O0000030,P00166,3,18.08,0.09,49.358399999999996
O0000031,P00084,1,41.01,0.21,32.3979
O0000031,P00069,2,34.03,0.08,62.6152
O0000031,P00131,2,25.76,0.06,48.4288
O0000031,P00170,3,35.38,0.09,96.58740000000002
O0000031,P00135,3,38.07,0.2,91.36800000000001
O0000031,P00113,2,40.33,0.27,58.8818
O0000031,P00022,1,37.05,0.03,35.9385
O0000032,P00011,1,29.42,0.21,23.2418
O0000032,P00110,1,29.86,0.02,29.2628
O0000032,P00112,1,33.74,0.19,27.329400000000003
O0000033,P00173,1,34.29,0.18,28.117800000000003
O0000034,P00122,1,37.36,0.23,28.7672
O0000035,P00121,1,33.88,0.27,24.732400000000002
O0000036,P00159,1,19.6,0.2,15.680000000000001
O0000036,P00088,1,32.81,0.1,29.529000000000003
O0000036,P00106,1,20.98,0.06,19.7212
O0000037,P00170,4,35.38,0.16,118.8768
O0000038,P00076,2,23.75,0.15,40.375
O0000038,P00106,3,20.98,0.12,55.3872
O0000038,P00128,2,23.84,0.09,43.3888
O0000039,P00024,2,41.18,0.25,61.769999999999996
O0000040,P00052,1,31.26,0.12,27.5088
O0000040,P00142,2,19.45,0.22,30.342
O0000040,P00196,2,28.43,0.07,52.879799999999996
O0000040,P00077,2,38.23,0.08,70.3432
O0000040,P00014,1,36.04,0.2,28.832
O0000040,P00069,1,34.03,0.14,29.265800000000002
O0000041,P00047,2,34.41,0.15,58.49699999999999
O0000041,P00017,1,27.14,0.2,21.712000000000003
O0000042,P00082,2,31.14,0.16,52.3152
O0000042,P00142,2,19.45,0.29,27.618999999999996
O0000043,P00148,3,18.8,0.09,51.324000000000005
O0000043,P00025,1,22.22,0.05,21.108999999999998
O0000043,P00018,1,22.7,0.24,17.252
O0000043,P00089,1,19.74,0.26,14.607599999999998
O0000044,P00004,1,19.84,0.1,17.856
O0000044,P00089,2,19.74,0.17,32.76839999999999
O0000044,P00148,1,18.8,0.06,17.672
O0000044,P00089,2,19.74,0.08,36.3216
O0000044,P00154,1,19.25,0.18,15.785000000000002
O0000045,P00086,3,39.0,0.22,91.26
O0000045,P00072,2,38.08,0.14,65.49759999999999
O0000046,P00038,3,37.76,0.16,95.1552
O0000046,P00060,2,26.1,0.06,49.068
O0000046,P00083,1,36.37,0.04,34.9152
O0000046,P00122,1,37.36,0.04,35.8656
O0000046,P00118,1,25.74,0.24,19.5624
O0000046,P00013,1,24.15,0.09,21.976499999999998
O0000046,P00069,1,34.03,0.27,24.8419
O0000047,P00088,1,32.81,0.02,32.153800000000004
O0000047,P00183,2,33.5,0.2,53.6
O0000047,P00011,1,29.42,0.28,21.1824
O0000047,P00200,1,39.29,0.21,31.0391
O0000047,P00004,2,19.84,0.19,32.1408
O0000047,P00122,2,37.36,0.28,53.798399999999994
O0000048,P00122,2,37.36,0.13,65.0064
O0000049,P00004,2,19.84,0.27,28.9664
O0000049,P00084,3,41.01,0.26,91.0422
O0000050,P00182,3,23.7,0.21,56.169
O0000050,P00103,3,38.92,0.02,114.4248
O0000050,P00051,1,23.69,0.01,23.453100000000003
O0000050,P00135,2,38.07,0.13,66.2418
O0000050,P00163,2,32.15,0.22,50.153999999999996
O0000050,P00118,1,25.74,0.21,20.3346
O0000050,P00114,2,32.34,0.18,53.03760000000001
O0000051,P00139,1,27.0,0.13,23.49
O0000051,P00164,3,28.82,0.08,79.54320000000001
O0000052,P00057,1,18.72,0.27,13.6656
O0000052,P00078,2,19.71,0.18,32.324400000000004
O0000052,P00195,2,19.28,0.22,30.076800000000002
O0000052,P00078,2,19.71,0.27,28.776600000000002
O0000052,P00154,2,19.25,0.03,37.345
O0000053,P00166,5,18.08,0.16,75.93599999999999
O0000053,P00092,2,20.1,0.09,36.582
O0000053,P00089,1,19.74,0.29,14.015399999999998
O0000053,P00189,3,18.44,0.03,53.6604
O0000053,P00189,2,18.44,0.11,32.8232
O0000054,P00050,1,20.14,0.15,17.119
O0000054,P00092,1,20.1,0.03,19.497
O0000054,P00142,1,19.45,0.19,15.7545
O0000054,P00159,3,19.6,0.26,43.512
O0000054,P00056,1,19.94,0.27,14.5562
O0000055,P00002,1,38.85,0.14,33.411
O0000056,P00002,1,38.85,0.28,27.972
O0000057,P00090,4,21.75,0.25,65.25
O0000057,P00123,1,22.11,0.29,15.698099999999998
O0000058,P00044,2,29.59,0.24,44.9768
O0000058,P00040,1,29.26,0.28,21.0672
O0000058,P00186,1,21.27,0.2,17.016000000000002
O0000058,P00100,2,37.43,0.23,57.6422
O0000058,P00141,1,41.94,0.2,33.552
O0000058,P00083,2,36.37,0.01,72.01259999999999
O0000058,P00068,3,40.12,0.25,90.26999999999998
O0000058,P00098,4,41.66,0.18,136.6448
O0000058,P00046,2,41.67,0.07,77.50619999999999
O0000058,P00068,2,40.12,0.3,56.16799999999999
O0000059,P00091,1,29.55,0.05,28.072499999999998
O0000059,P00198,1,18.79,0.19,15.2199
O0000060,P00061,2,25.42,0.12,44.739200000000004
O0000061,P00185,4,30.49,0.03,118.3012
O0000062,P00178,1,27.79,0.03,26.9563
O0000062,P00178,1,27.79,0.2,22.232
O0000062,P00099,1,30.44,0.19,24.6564
O0000062,P00138,1,26.3,0.03,25.511
O0000062,P00107,2,41.29,0.01,81.7542
O0000063,P00133,2,41.85,0.18,68.63400000000001
O0000064,P00067,1,36.44,0.13,31.702799999999996
O0000064,P00028,4,36.38,0.27,106.2296
O0000064,P00110,2,29.86,0.03,57.928399999999996
O0000064,P00030,1,38.65,0.11,34.3985
O0000065,P00033,1,35.56,0.17,29.5148
O0000066,P00029,1,30.71,0.06,28.8674
O0000066,P00108,1,28.33,0.02,27.763399999999997
O0000067,P00040,1,29.26,0.09,26.626600000000003
O0000068,P00019,4,24.12,0.1,86.83200000000001
O0000069,P00183,3,33.5,0.04,96.47999999999999
O0000069,P00109,6,31.42,0.2,150.816
O0000070,P00089,4,19.74,0.29,56.06159999999999
O0000070,P00092,2,20.1,0.16,33.768
O0000070,P00037,1,20.39,0.26,15.0886
O0000071,P00134,1,39.06,0.02,38.278800000000004
O0000071,P00045,1,35.11,0.15,29.8435
O0000071,P00092,1,20.1,0.17,16.683
O0000071,P00162,3,21.43,0.26,47.5746
O0000071,P00006,1,26.46,0.08,24.343200000000003
O0000072,P00082,1,31.14,0.01,30.8286
O0000072,P00132,1,37.57,0.06,35.315799999999996
O0000072,P00049,1,38.63,0.14,33.2218
O0000072,P00194,1,40.53,0.23,31.2081
O0000072,P00039,2,40.53,0.19,65.6586
O0000072,P00142,3,19.45,0.22,45.513
O0000073,P00014,4,36.04,0.17,119.65279999999998
O0000074,P00023,2,32.1,0.2,51.36000000000001
O0000074,P00132,3,37.57,0.2,90.168
O0000074,P00081,1,31.4,0.0,31.4
O0000074,P00043,1,23.97,0.17,19.8951
O0000074,P00003,1,26.28,0.0,26.28
O0000074,P00142,1,19.45,0.03,18.8665
O0000074,P00134,1,39.06,0.11,34.763400000000004
O0000074,P00123,1,22.11,0.26,16.3614
O0000074,P00048,3,31.98,0.16,80.58959999999999
O0000075,P00139,2,27.0,0.09,49.14
O0000075,P00173,2,34.29,0.19,55.549800000000005
O0000075,P00174,1,29.24,0.11,26.0236
O0000075,P00138,1,26.3,0.04,25.248
O0000075,P00034,1,25.72,0.1,23.148
O0000075,P00006,1,26.46,0.12,23.2848
O0000075,P00036,2,23.52,0.15,39.984
O0000075,P00014,2,36.04,0.09,65.5928
O0000075,P00072,1,38.08,0.05,36.175999999999995
O0000075,P00103,4,38.92,0.13,135.4416
O0000076,P00005,3,34.49,0.15,87.9495
O0000077,P00142,1,19.45,0.21,15.3655
O0000077,P00137,1,21.74,0.22,16.9572
O0000077,P00106,1,20.98,0.1,18.882
O0000078,P00157,3,23.74,0.09,64.8102
O0000078,P00003,1,26.28,0.06,24.7032
O0000078,P00019,1,24.12,0.08,22.1904
O0000078,P00089,2,19.74,0.25,29.61
O0000078,P00140,1,33.26,0.02,32.5948
O0000078,P00016,3,41.58,0.18,102.2868
O0000078,P00090,2,21.75,0.08,40.02
O0000079,P00089,2,19.74,0.03,38.29559999999999
O0000079,P00126,4,26.12,0.1,94.03200000000001
O0000080,P00092,1,20.1,0.02,19.698
O0000080,P00145,1,20.47,0.07,19.0371
O0000080,P00195,1,19.28,0.24,14.652800000000001
O0000081,P00042,1,27.21,0.03,26.3937
O0000081,P00138,4,26.3,0.1,94.68
O0000081,P00036,1,23.52,0.02,23.049599999999998
O0000081,P00120,1,22.97,0.17,19.065099999999997
O0000081,P00097,1,31.36,0.25,23.52
O0000081,P00138,4,26.3,0.2,84.16000000000001
O0000082,P00033,3,35.56,0.17,88.5444
O0000083,P00076,1,23.75,0.24,18.05
O0000084,P00139,2,27.0,0.02,52.92
O0000084,P00162,1,21.43,0.01,21.2157
O0000085,P00090,1,21.75,0.28,15.66
O0000085,P00057,4,18.72,0.28,53.913599999999995
O0000085,P00078,1,19.71,0.21,15.570900000000002
O0000086,P00124,1,29.27,0.13,25.4649
O0000086,P00152,2,32.69,0.2,52.304
O0000087,P00044,2,29.59,0.02,57.9964
O0000087,P00175,4,29.48,0.26,87.2608
O0000088,P00064,3,34.72,0.04,99.99359999999999
O0000088,P00096,1,21.71,0.07,20.1903
O0000088,P00076,1,23.75,0.16,19.95
O0000088,P00119,1,36.65,0.0,36.65
O0000089,P00037,1,20.39,0.06,19.1666
O0000089,P00162,1,21.43,0.1,19.287
O0000089,P00106,2,20.98,0.23,32.309200000000004
O0000090,P00150,1,36.05,0.29,25.595499999999998
O0000091,P00171,1,25.44,0.06,23.9136
O0000091,P00013,3,24.15,0.29,51.43949999999999
O0000092,P00132,1,37.57,0.15,31.9345
O0000093,P00117,1,23.7,0.2,18.96
O0000093,P00025,2,22.22,0.24,33.7744
O0000093,P00117,3,23.7,0.08,65.41199999999999
O0000093,P00199,1,25.46,0.01,25.2054
O0000093,P00060,1,26.1,0.01,25.839000000000002
O0000093,P00014,2,36.04,0.08,66.31360000000001
O0000093,P00016,1,41.58,0.21,32.8482
O0000093,P00020,2,24.87,0.16,41.7816
O0000093,P00020,2,24.87,0.2,39.792
O0000094,P00189,1,18.44,0.13,16.0428
O0000094,P00195,2,19.28,0.07,35.8608
O0000094,P00154,4,19.25,0.24,58.52
O0000095,P00019,1,24.12,0.18,19.7784
O0000095,P00161,1,24.82,0.2,19.856
O0000096,P00144,3,19.24,0.17,47.907599999999995
O0000096,P00144,4,19.24,0.11,68.4944
O0000096,P00166,2,18.08,0.3,25.311999999999998
O0000097,P00180,1,28.32,0.26,20.9568
O0000097,P00038,1,37.76,0.21,29.8304
O0000097,P00127,2,34.04,0.06,63.9952
O0000097,P00098,4,41.66,0.26,123.3136
O0000097,P00001,1,27.51,0.04,26.4096
O0000097,P00195,1,19.28,0.2,15.424000000000001
O0000097,P00048,2,31.98,0.02,62.6808
O0000097,P00158,1,24.19,0.09,22.012900000000002
O0000097,P00011,1,29.42,0.18,24.124400000000005
O0000097,P00020,1,24.87,0.02,24.372600000000002
O0000098,P00154,1,19.25,0.2,15.4
O0000098,P00057,1,18.72,0.01,18.532799999999998
O0000098,P00154,2,19.25,0.24,29.26
O0000099,P00033,1,35.56,0.02,34.848800000000004
O0000099,P00128,1,23.84,0.14,20.502399999999998
O0000099,P00044,1,29.59,0.28,21.3048
O0000099,P00170,3,35.38,0.24,80.66640000000001
O0000099,P00124,2,29.27,0.16,49.1736
O0000099,P00140,1,33.26,0.04,31.929599999999997
O0000099,P00060,1,26.1,0.09,23.751
O0000099,P00121,1,33.88,0.14,29.1368
O0000099,P00156,1,33.27,0.22,25.950600000000005
O0000099,P00018,2,22.7,0.1,40.86
O0000100,P00154,2,19.25,0.21,30.415000000000003
O0000100,P00057,1,18.72,0.02,18.345599999999997
O0000100,P00195,2,19.28,0.06,36.2464
O0000101,P00060,1,26.1,0.28,18.792
O0000101,P00120,3,22.97,0.06,64.77539999999999
O0000102,P00015,1,31.18,0.21,24.6322
O0000102,P00115,1,23.61,0.13,20.5407
O0000102,P00091,2,29.55,0.2,47.28
O0000102,P00134,2,39.06,0.06,73.4328
O0000102,P00118,4,25.74,0.02,100.90079999999999
O0000102,P00036,1,23.52,0.0,23.52
O0000103,P00198,1,18.79,0.08,17.2868
O0000103,P00189,1,18.44,0.21,14.567600000000002
O0000103,P00166,2,18.08,0.21,28.566399999999998
O0000104,P00023,2,32.1,0.01,63.558
O0000104,P00167,2,41.68,0.22,65.02080000000001
O0000104,P00178,1,27.79,0.16,23.3436
O0000104,P00073,2,28.56,0.21,45.1248
O0000104,P00102,2,40.58,0.17,67.3628
O0000105,P00092,1,20.1,0.08,18.492
O0000105,P00001,1,27.51,0.28,19.8072
O0000105,P00165,2,30.74,0.16,51.64319999999999
O0000105,P00145,1,20.47,0.24,15.5572
O0000105,P00012,2,35.09,0.11,62.46020000000001
O0000105,P00079,1,24.1,0.25,18.075000000000003
O0000105,P00054,2,21.56,0.29,30.615199999999998
O0000105,P00180,3,28.32,0.1,76.46400000000001
O0000106,P00189,1,18.44,0.27,13.4612
O0000106,P00198,1,18.79,0.03,18.2263
O0000106,P00195,1,19.28,0.15,16.388
O0000107,P00158,1,24.19,0.23,18.6263
O0000107,P00109,4,31.42,0.2,100.54400000000001
O0000107,P00095,1,39.36,0.07,36.6048
O0000107,P00192,2,39.14,0.23,60.275600000000004
O0000108,P00083,1,36.37,0.16,30.550799999999995
O0000109,P00106,1,20.98,0.01,20.7702
O0000109,P00186,3,21.27,0.24,48.4956
O0000110,P00157,1,23.74,0.04,22.790399999999998
O0000110,P00179,3,23.12,0.21,54.7944
O0000110,P00102,1,40.58,0.11,36.1162
O0000110,P00132,1,37.57,0.2,30.056
O0000110,P00165,1,30.74,0.06,28.895599999999998
O0000110,P00050,1,20.14,0.07,18.7302
O0000110,P00169,2,32.12,0.05,61.02799999999999
O0000110,P00156,3,33.27,0.05,94.81949999999999
O0000110,P00134,5,39.06,0.19,158.193
O0000110,P00078,1,19.71,0.08,18.133200000000002
O0000111,P00193,3,37.11,0.0,111.33
O0000111,P00160,1,36.17,0.29,25.6807
O0000111,P00138,1,26.3,0.21,20.777
O0000111,P00021,1,24.11,0.2,19.288
O0000112,P00059,2,35.5,0.28,51.12
O0000112,P00011,1,29.42,0.17,24.4186
O0000112,P00118,2,25.74,0.2,41.184
O0000112,P00079,3,24.1,0.24,54.94800000000001
O0000112,P00050,1,20.14,0.01,19.9386
O0000112,P00172,1,20.51,0.17,17.0233
O0000112,P00139,1,27.0,0.19,21.87
O0000112,P00127,1,34.04,0.23,26.2108
O0000112,P00137,3,21.74,0.21,51.5238
O0000113,P00188,1,40.08,0.18,32.8656
O0000113,P00088,3,32.81,0.02,96.46140000000001
O0000113,P00200,1,39.29,0.17,32.610699999999994
O0000113,P00067,2,36.44,0.17,60.490399999999994
O0000113,P00083,2,36.37,0.15,61.82899999999999
O0000113,P00157,3,23.74,0.0,71.22
O0000114,P00198,1,18.79,0.26,13.904599999999999
O0000114,P00154,2,19.25,0.27,28.105
O0000114,P00198,3,18.79,0.03,54.6789
O0000115,P00027,2,33.94,0.17,56.340399999999995
O0000115,P00024,3,41.18,0.04,118.59839999999998
O0000115,P00050,2,20.14,0.02,39.4744
O0000115,P00160,1,36.17,0.26,26.765800000000002
O0000116,P00054,1,21.56,0.24,16.3856
O0000116,P00076,1,23.75,0.2,19.0
O0000117,P00085,1,36.47,0.08,33.5524
O0000117,P00038,1,37.76,0.06,35.4944
O0000117,P00091,1,29.55,0.11,26.299500000000002
O0000117,P00049,2,38.63,0.17,64.1258
O0000117,P00185,2,30.49,0.19,49.3938
O0000118,P00013,4,24.15,0.18,79.212
O0000119,P00057,1,18.72,0.13,16.2864
O0000119,P00042,2,27.21,0.07,50.6106
O0000119,P00119,1,36.65,0.2,29.32
O0000119,P00151,1,37.08,0.05,35.226
O0000119,P00110,1,29.86,0.19,24.186600000000002
O0000120,P00156,1,33.27,0.24,25.285200000000003
O0000121,P00049,1,38.63,0.06,36.3122
O0000122,P00156,2,33.27,0.04,63.878400000000006
O0000122,P00179,1,23.12,0.09,21.0392
O0000123,P00129,1,18.4,0.12,16.192
O0000123,P00189,2,18.44,0.09,33.5608
O0000123,P00189,1,18.44,0.17,15.305200000000001
O0000123,P00166,2,18.08,0.06,33.990399999999994
O0000123,P00166,1,18.08,0.18,14.8256
O0000124,P00129,4,18.4,0.06,69.184
O0000124,P00189,1,18.44,0.22,14.383200000000002
O0000124,P00129,3,18.4,0.03,53.544
O0000124,P00129,1,18.4,0.23,14.168
O0000124,P00189,3,18.44,0.28,39.830400000000004
O0000125,P00018,1,22.7,0.19,18.387
O0000125,P00198,1,18.79,0.07,17.4747
O0000125,P00142,3,19.45,0.23,44.9295
O0000125,P00162,1,21.43,0.09,19.5013
O0000126,P00057,1,18.72,0.01,18.532799999999998
O0000126,P00159,1,19.6,0.12,17.248
O0000126,P00042,2,27.21,0.07,50.6106
O0000127,P00046,2,41.67,0.24,63.3384
O0000128,P00133,2,41.85,0.01,82.863
O0000128,P00064,3,34.72,0.0,104.16
O0000129,P00133,3,41.85,0.25,94.16250000000001
O0000130,P00113,2,40.33,0.15,68.56099999999999
O0000130,P00087,2,35.81,0.25,53.715
O0000130,P00095,1,39.36,0.19,31.881600000000002
O0000130,P00007,5,33.14,0.01,164.04299999999998
O0000130,P00069,2,34.03,0.09,61.9346
O0000130,P00086,1,39.0,0.02,38.22
O0000131,P00148,1,18.8,0.02,18.424
O0000131,P00197,2,31.6,0.09,57.51200000000001
O0000132,P00138,3,26.3,0.01,78.111
O0000132,P00127,3,34.04,0.11,90.88680000000001
O0000132,P00063,1,36.78,0.17,30.5274
O0000132,P00042,3,27.21,0.27,59.58989999999999
O0000132,P00025,1,22.22,0.11,19.7758
O0000132,P00024,1,41.18,0.28,29.6496
O0000132,P00122,1,37.36,0.29,26.525599999999997
O0000132,P00127,1,34.04,0.09,30.9764
O0000132,P00200,2,39.29,0.14,67.5788
O0000133,P00008,1,40.34,0.22,31.465200000000003
O0000133,P00080,1,37.94,0.18,31.1108
O0000133,P00114,4,32.34,0.1,116.42400000000002
O0000133,P00100,1,37.43,0.23,28.8211
O0000133,P00017,1,27.14,0.03,26.3258
O0000133,P00026,5,31.29,0.09,142.3695
O0000133,P00007,2,33.14,0.17,55.0124
O0000133,P00099,2,30.44,0.09,55.400800000000004
O0000133,P00047,3,34.41,0.18,84.6486
O0000133,P00181,3,33.93,0.26,75.32459999999999
O0000134,P00108,1,28.33,0.29,20.114299999999997
O0000134,P00180,1,28.32,0.17,23.505599999999998
O0000134,P00058,2,32.04,0.08,58.9536
O0000134,P00023,1,32.1,0.04,30.816
O0000134,P00039,1,40.53,0.25,30.3975
O0000134,P00098,4,41.66,0.01,164.97359999999998
O0000135,P00068,3,40.12,0.14,103.50959999999999
O0000135,P00080,2,37.94,0.3,53.11599999999999
O0000135,P00172,1,20.51,0.06,19.2794
O0000135,P00156,1,33.27,0.11,29.610300000000002
O0000135,P00179,4,23.12,0.25,69.36
O0000135,P00055,3,32.04,0.11,85.5468
O0000135,P00019,1,24.12,0.23,18.572400000000002
O0000135,P00117,2,23.7,0.02,46.452
O0000136,P00078,2,19.71,0.03,38.2374
O0000136,P00198,4,18.79,0.3,52.611999999999995
O0000136,P00143,3,22.74,0.24,51.8472
O0000136,P00198,2,18.79,0.14,32.318799999999996
O0000137,P00038,1,37.76,0.11,33.6064
O0000138,P00184,1,36.06,0.25,27.045
O0000138,P00100,1,37.43,0.18,30.692600000000002
O0000139,P00143,2,22.74,0.18,37.2936
O0000139,P00078,4,19.71,0.05,74.898
O0000139,P00162,1,21.43,0.23,16.5011
O0000139,P00025,1,22.22,0.06,20.886799999999997
O0000140,P00103,3,38.92,0.03,113.2572
O0000140,P00047,1,34.41,0.21,27.183899999999998
O0000140,P00020,1,24.87,0.09,22.631700000000002
O0000140,P00145,1,20.47,0.24,15.5572
O0000140,P00193,2,37.11,0.11,66.0558
O0000140,P00172,1,20.51,0.29,14.562100000000001
O0000140,P00078,1,19.71,0.06,18.5274
O0000140,P00152,1,32.69,0.07,30.401699999999995
O0000140,P00166,1,18.08,0.28,13.017599999999998
O0000140,P00100,1,37.43,0.01,37.0557
O0000141,P00080,3,37.94,0.25,85.365
O0000142,P00142,3,19.45,0.1,52.51499999999999
O0000142,P00089,3,19.74,0.19,47.9682
O0000142,P00198,2,18.79,0.15,31.942999999999998
O0000142,P00143,5,22.74,0.15,96.64499999999998
O0000143,P00030,3,38.65,0.04,111.31199999999998
O0000144,P00035,2,27.32,0.23,42.0728
O0000144,P00147,1,37.41,0.11,33.2949
O0000144,P00055,1,32.04,0.06,30.117599999999996
O0000144,P00017,2,27.14,0.23,41.7956
O0000144,P00086,2,39.0,0.18,63.96000000000001
O0000144,P00015,1,31.18,0.01,30.868199999999998
O0000144,P00136,1,29.9,0.16,25.115999999999996
O0000144,P00161,2,24.82,0.13,43.1868
O0000144,P00052,2,31.26,0.02,61.269600000000004
O0000144,P00023,2,32.1,0.03,62.274
O0000145,P00058,1,32.04,0.24,24.3504
O0000145,P00038,1,37.76,0.28,27.187199999999997
O0000146,P00124,1,29.27,0.29,20.781699999999997
O0000146,P00013,1,24.15,0.24,18.354
O0000146,P00168,2,29.23,0.17,48.5218
O0000147,P00144,1,19.24,0.04,18.470399999999998
O0000147,P00054,2,21.56,0.17,35.78959999999999
O0000147,P00166,1,18.08,0.17,15.006399999999998
O0000147,P00148,3,18.8,0.0,56.400000000000006
O0000148,P00028,2,36.38,0.02,71.3048
O0000149,P00056,1,19.94,0.07,18.5442
O0000149,P00154,1,19.25,0.04,18.48
O0000149,P00182,2,23.7,0.07,44.081999999999994
O0000150,P00134,1,39.06,0.21,30.857400000000002
O0000150,P00011,1,29.42,0.23,22.6534
O0000151,P00045,3,35.11,0.25,78.9975
O0000152,P00102,4,40.58,0.25,121.74
O0000153,P00182,1,23.7,0.2,18.96
O0000153,P00138,1,26.3,0.03,25.511
O0000153,P00164,5,28.82,0.21,113.839
O0000153,P00126,1,26.12,0.04,25.0752
O0000153,P00077,2,38.23,0.17,63.46179999999999
O0000153,P00047,2,34.41,0.02,67.44359999999999
O0000153,P00051,1,23.69,0.17,19.6627
O0000153,P00102,1,40.58,0.21,32.0582
O0000153,P00088,2,32.81,0.14,56.43320000000001
O0000153,P00158,1,24.19,0.01,23.9481
O0000154,P00073,1,28.56,0.07,26.560799999999997
O0000154,P00040,3,29.26,0.22,68.4684
O0000155,P00169,2,32.12,0.0,64.24
O0000155,P00173,1,34.29,0.16,28.8036
O0000155,P00058,2,32.04,0.02,62.798399999999994
